0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-07,1e-07,1e-07,1e-07,1.4254565,1e-07,1e-07,2.1198921,1e-07,1e-07,0.77248913,1e-07,1e-07,1e-07,2.969077,1e-07,1e-07,1e-07,1e-07,0.70021766,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.2200575,1e-07,1e-07,1e-07,4.636591,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.420896,1e-07,1e-07,1e-07,1e-07,2.000055,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.36768198,1e-07,1e-07,1e-07,1e-07,0.39480335,0.4114747,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.431116,1e-07,1e-07,1e-07,1e-07,2.457152,1e-07,2.859378,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.5464764,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.9172851,1e-07,1e-07,1.8840268,1e-07
1e-07,1e-07,1e-07,1e-07,2.166814,1e-07,1e-07,2.965611,1e-07,1e-07,0.33090216,1e-07,1e-07,1e-07,3.453609,1e-07,1e-07,1e-07,1e-07,0.903426,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.458653,1e-07,1e-07,1e-07,5.265769,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.1096845,1e-07,1e-07,1e-07,1e-07,3.0970707,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.26415604,1e-07,1e-07,1e-07,1e-07,0.81734943,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.6543016,1e-07,1e-07,1e-07,1e-07,3.0900855,1e-07,2.714469,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.943816,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1.3977388,1e-07,1e-07,2.3057232,1e-07
1e-07,1e-07,1e-07,1e-07,2.1667428,1e-07,1e-07,2.964814,1e-07,1e-07,0.33466434,1e-07,1e-07,1e-07,3.4529898,1e-07,1e-07,1e-07,1e-07,0.9013704,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.45718,1e-07,1e-07,1e-07,5.2644453,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.1106815,1e-07,1e-07,1e-07,1e-07,3.1012874,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.26140124,1e-07,1e-07,1e-07,1e-07,0.81497025,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.6510625,1e-07,1e-07,1e-07,1e-07,3.092246,1e-07,2.7145836,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.9423723,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1.4010301,1e-07,1e-07,2.3117683,1e-07
1e-07,1e-07,1e-07,1e-07,2.1669414,1e-07,1e-07,2.9632816,1e-07,1e-07,0.3390017,1e-07,1e-07,1e-07,3.452344,1e-07,1e-07,1e-07,1e-07,0.8992239,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.456017,1e-07,1e-07,1e-07,5.2630453,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.1121833,1e-07,1e-07,1e-07,1e-07,3.105575,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.25749338,1e-07,1e-07,1e-07,1e-07,0.81160593,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.6466513,1e-07,1e-07,1e-07,1e-07,3.0942602,1e-07,2.7146182,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.940132,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1.4046297,1e-07,1e-07,2.318114,1e-07
1e-07,1e-07,1e-07,1e-07,2.1671867,1e-07,1e-07,2.9626446,1e-07,1e-07,0.3416392,1e-07,1e-07,1e-07,3.4514875,1e-07,1e-07,1e-07,1e-07,0.89665776,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.4548912,1e-07,1e-07,1e-07,5.2618303,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.1098819,1e-07,1e-07,1e-07,1e-07,3.108973,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.2532602,1e-07,1e-07,1e-07,1e-07,0.80793756,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.6434312,1e-07,1e-07,1e-07,1e-07,3.0973725,1e-07,2.7144241,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.9389277,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1.4094863,1e-07,1e-07,2.322754,1e-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-07,1e-07,1e-07,1e-07,1.4759575,1e-07,1e-07,2.1172714,1e-07,1e-07,0.7658111,1e-07,1e-07,1e-07,3.011022,1e-07,1e-07,1e-07,1e-07,0.7496166,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.2732358,1e-07,1e-07,1e-07,4.6846256,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.4006848,1e-07,1e-07,1e-07,1e-07,1.9776007,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.28286695,1e-07,1e-07,1e-07,1e-07,0.33655152,0.46022442,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.4232242,1e-07,1e-07,1e-07,1e-07,2.4695134,1e-07,2.8459773,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.583062,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.92309624,1e-07,1e-07,1.8394012,1e-07
1e-07,1e-07,1e-07,1e-07,2.2139633,1e-07,1e-07,2.953239,1e-07,1e-07,0.3403195,1e-07,1e-07,1e-07,3.4983535,1e-07,1e-07,1e-07,1e-07,0.95886743,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.5150504,1e-07,1e-07,1e-07,5.311699,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.129058,1e-07,1e-07,1e-07,1e-07,3.0817294,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.1883381,1e-07,1e-07,1e-07,1e-07,0.76307726,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.6355758,1e-07,1e-07,1e-07,1e-07,3.090397,1e-07,2.7037594,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.977401,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1.3870804,1e-07,1e-07,2.2758203,1e-07
1e-07,1e-07,1e-07,1e-07,2.2146578,1e-07,1e-07,2.9530115,1e-07,1e-07,0.34166968,1e-07,1e-07,1e-07,3.4990964,1e-07,1e-07,1e-07,1e-07,0.9594537,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.515585,1e-07,1e-07,1e-07,5.312341,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.129641,1e-07,1e-07,1e-07,1e-07,3.082763,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.18627334,1e-07,1e-07,1e-07,1e-07,0.7613827,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.6346116,1e-07,1e-07,1e-07,1e-07,3.091164,1e-07,2.7036886,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.977784,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1.3878477,1e-07,1e-07,2.2770813,1e-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-07,1e-07,1e-07,1e-07,1.4255369,1e-07,1e-07,2.1198463,1e-07,1e-07,0.7724695,1e-07,1e-07,1e-07,2.9690933,1e-07,1e-07,1e-07,1e-07,0.7002875,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.2200716,1e-07,1e-07,1e-07,4.636593,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.420886,1e-07,1e-07,1e-07,1e-07,2.0000887,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.36770546,1e-07,1e-07,1e-07,1e-07,0.3948086,0.41151145,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.4311628,1e-07,1e-07,1e-07,1e-07,2.4571252,1e-07,2.8593547,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.549217,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.9172858,1e-07,1e-07,1.8840408,1e-07
